"","author","row_num"
"246","CHO Y",108
"247","IM I",108
"248","HILTZ R",108
"249","FJERMESTAD J",108
"250","KOUTSAKAS P",109
"251","KOUMPIS A",109
"252","KARLSEN JT",110
"253","GOTTSCHALK P",110
"254","ANDERSEN ES",110
"255","WHITTAKER S",111
"256","JONES Q",111
"257","TERVEEN L",111
"258","BATES-BRKLJAC N",112
"259","LUI SM",113
"260","LANG KR",113
"261","KWOK SH",113
"262","YANG CC",114
"263","KWOK SH",114
"264","YIP M",114
"265","SCOTT G",115
"266","WALTER Z",115
"267","XU P",116
"268","RAMESH B",116
"269","BRYSON KM",117
"270","SULLIVAN WE",117
"271","FABIAN FH",118
"272","OGILVIE D",118
"273","ANDERSSON I",119
"274","NILSSON K",119
"275","GEISLER E",120
"276","LOWRY PB",121
"277","NUNAMAKER J",121
"278","MOUNT TD",122
"279","SUCHOCKI M",123
"280","ASOH D",124
"281","BELARDO S",124
"282","NEILSON R",124
"283","LINDEROTH HCJ",125
"284","ENTRIALGO M",126
"285","RODRIGUEZ D",127
"286","HARRISON R",127
"287","SATPATHY M",127
"288","COOPER BF",128
"289","SAMPLE N",128
"290","FRANKLIN MJ",128
"291","OLSHANSKY J",128
"292","SHADMON M",128
"293","COHEN L",128
"294","KASMAI M",129
"295","LIJIMA J",129
"296","GOTTSCHALK P",130
"297","NA NA",131
"298","NA NA",132
"299","NA NA",133
"300","MIYAZAKI T",134
"301","IWASHITA K",134
"302","NEWELL S",135
"303","SCARBROUGH H",135
"304","SWAN J",135
"305","ROBERTSON M",135
"306","GALLIERS RD",135
"307","RANGANATHAN C",136
"308","LERTPITTAYAPOOM N",136
"309","KAUFFMAN RJ",137
"310","MOHTADI H",137
"311","LEVY Y",138
"312","MURPHY KE",138
"313","BROWN CL",139
"314","CHIASSON M",140
"315","DAVIDSON E",140
"316","SRENSEN C",141
"317","KAKIHARA M",141
"318","KING RC",142
"319","GRIBBINS ML",142
"320","DE VREEDE GJ",143
"321","BOONSTRA J",143
"322","NIEDERMAN F",143
"323","MARTTIIN P",144
"324","LEHTO JA",144
"325","NYMAN G",144
"326","THURM B",145
"327","LAMB R",146
